name,type,L,s,apx,apy,subsystem,dtype,system,inst,device,desc
DRIFT,DRIFT,0.0986025,191.61088018,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB11:CAV8_D1918,CAV,0.3,191.81063868,0.034,0.034,CB11,CAV_B08,LS1,D1918,CAV8,b08 resonator
DRIFT,DRIFT,0.1899075,192.05604968,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellows
LS1_CB11:GV_D1922,VALVE,0.057404,192.17924818,0.04,0.04,CB11,NONE,LS1,NONE,GV,gate valve
DRIFT,DRIFT,0.103502,192.25970118,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_WB11:BPM_D1923,BPM,0.0,192.31145218,0.04,0.04,WB11,BPM2,LS1,D1923,BPM,position monitor
DRIFT,DRIFT,0.145282,192.38409318,0.04,0.04,NONE,NONE,NONE,NONE,NONE,diagnostic box
LS1_WB11:PORT_D1925,PORT,0.0,192.45673418,0.04,0.04,WB11,,LS1,NONE,PORT,port for future diagnostics
DRIFT,DRIFT,0.0,192.45673418,0.04,0.04,NONE,NONE,NONE,NONE,NONE,diagnostic box
LS1_WB11:IP_D1925,PORT,0.0,192.45673418,0.04,0.04,WB11,IP_S,LS1,NONE,IP,"ion pump, 75 l/s"
DRIFT,DRIFT,0.131216,192.52234218,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
DRIFT,DRIFT,-9.6e-07,192.5879497,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_1128
DRIFT,DRIFT,1.05,193.11294922,0.04,0.04,NONE,NONE,NONE,NONE,NONE,drift_1129
LS1_BTS:DC_D1937,COR,0.2,193.73794922,0.05,0.05,BTS,C2,LS1,D1937,DC,"correctors-X,Y"
LS1_BTS:DCH_D1937,HCOR,0.0,193.73794922,0.05,0.05,BTS,C2,LS1,D1937,DCH,horiz. corrector magnet
LS1_BTS:DCV_D1937,VCOR,0.0,193.73794922,0.05,0.05,BTS,C2,LS1,D1937,DCV,vert. corrector magnet
DRIFT,DRIFT,0.25,193.96294922,0.05,0.05,NONE,NONE,NONE,NONE,NONE,drift_1131
LS1_BTS:QH_D1942,QUAD,0.25,194.21294922,0.05,0.05,BTS,QUAD_Q1,LS1,D1942,QH,quadrupole-X
DRIFT,DRIFT,0.295946,194.48592222,0.05,0.05,NONE,NONE,NONE,NONE,NONE,drift_1133
LS1_BTS:GV_D1947,VALVE,0.075,194.67139522,0.063,0.063,BTS,NONE,LS1,NONE,GV,gate valve
DRIFT,DRIFT,0.129054,194.77342222,0.063,0.063,NONE,NONE,NONE,NONE,NONE,drift_1135
LS1_BTS:QV_D1950,QUAD,0.25,194.96294922,0.05,0.05,BTS,QUAD_Q1,LS1,D1950,QV,quadrupole-Y
DRIFT,DRIFT,1.198,195.68694922,0.05,0.05,NONE,NONE,NONE,NONE,NONE,drift_1137
LS1_BTS:DC_D1964,COR,0.2,196.38594922,0.05,0.05,BTS,C2,LS1,D1964,DC,"correctors-X,Y"
LS1_BTS:DCH_D1964,HCOR,0.0,196.38594922,0.05,0.05,BTS,C2,LS1,D1964,DCH,horiz. corrector magnet
LS1_BTS:DCV_D1964,VCOR,0.0,196.38594922,0.05,0.05,BTS,C2,LS1,D1964,DCV,vert. corrector magnet
DRIFT,DRIFT,0.192144,196.58202122,0.05,0.05,NONE,NONE,NONE,NONE,NONE,drift_1140
LS1_BTS:BPM_D1967,BPM,0.0,196.67809322,0.0475,0.0475,BTS,BPM3,LS1,D1967,BPM,position monitor
DRIFT,DRIFT,0.057856,196.70702122,0.0475,0.0475,NONE,NONE,NONE,NONE,NONE,drift_1142
LS1_BTS:QH_D1969,QUAD,0.25,196.86094922,0.05,0.05,BTS,QUAD_Q1,LS1,D1969,QH,quadrupole-X
DRIFT,DRIFT,0.5,197.23594922,0.05,0.05,NONE,NONE,NONE,NONE,NONE,drift_1144
LS1_BTS:QV_D1976,QUAD,0.25,197.61094922,0.05,0.05,BTS,QUAD_Q1,LS1,D1976,QV,quadrupole-Y
DRIFT,DRIFT,0.132503337628,197.802200889,0.05,0.05,NONE,NONE,NONE,NONE,NONE,drift_1146
DRIFT,DRIFT,0.103502,197.920203558,0.05,0.05,NONE,NONE,NONE,NONE,NONE,bellow
